company_id;company_name;date_first_certified;date_certified;current_status;industry;industry_category;country;state;city;sector;size;website;assessment_year;overall_score;impact_area_community;impact_area_customers;impact_area_environment;impact_area_governance;impact_area_workers;certification_cycle
001C000001NOLanIAH;Green Drop Garage;18/08/15;18/08/15;certified;Automotive Sales & Repair;Consumer Products & Services;United States;Oregon;Portland;Service with Minor Environmental Footprint;Oct-49;greendropgarage.com;2015;83.1;18.2;0.1;22.2;9.5;33.1;2.0
001C000001NsbpnIAB;JUST Goods, Inc.;08/12/17;08/12/17;certified;Food & Beverage;Consumer Products & Services;United States;New York;Queensbury;Manufacturing;Oct-49;justwater.com;2017;82.5;21.0;0.0;37.5;11.0;13.0;1.0
0013b00001qEOkbAAG;Enriched Horizons;03/11/21;03/11/21;certified;Sustainability Consulting;Business Products & Services;United Kingdom;Cornwall;Duloe;Service with Minor Environmental Footprint;0;www.enrichedhorizons.com;2019;130.8;67.4;29.4;14.2;19.7;;1.0
001C000001FhJHVIA3;Chilote Shoes;29/11/16;27/08/20;certified;Apparel, Footwear & Accessories;Consumer Products & Services;Chile;LOS LAGOS;Osorno;Wholesale/Retail;0;www.chiloteshoes.com;2019;90.5;54.4;10.6;8.3;17.0;;1.0
001C000001FhJHVIA3;Chilote Shoes;29/11/16;29/11/16;certified;Apparel, Footwear & Accessories;Consumer Products & Services;Chile;LOS LAGOS;Osorno;Wholesale/Retail;0;www.chiloteshoes.com;2016;84.2;55.5;7.9;7.5;13.3;;2.0
0013b00001vLwCeAAK;Serendipity Creative LLC;11/03/22;11/03/22;certified;Research & Design;Business Products & Services;United States;Virginia;Arlington;Service with Minor Environmental Footprint;0;serendipitycreative.com;2021;82.5;28.8;38.7;3.8;11.1;;1.0
0013b00001qEb5GAAS;Connected Asset Management;29/07/20;29/07/20;certified;Equity Investor - Developed Markets;Financial Services;United Kingdom;London;London;Service with Minor Environmental Footprint;01-Sep;connected-am.com;2019;84.3;15.8;13.0;7.6;11.6;36.0;1.0
001C000001k9PqZIAU;Sales: Untangled®;03/02/20;03/02/20;certified;Management and Financial Consulting;Business Products & Services;United Kingdom;Buckinghamshire;Bourne End;Service with Minor Environmental Footprint;0;salesuntangled.co.uk;2019;80.4;47.7;2.8;13.3;16.3;;1.0
0013b00001nEvAQAA0;Haddon Coaching;25/11/20;25/11/20;certified;Research & Design;Business Products & Services;United Kingdom;Somerset;Holcombe;Service with Minor Environmental Footprint;0;www.haddoncoaching.com;2019;80.9;40.3;16.9;5.8;17.8;;1.0
0013b00001nDs3IAAS;Chemistry Team;30/06/21;30/06/21;certified;Research & Design;Business Products & Services;Singapore;Central Singapore Community Development Council;Singapore;Service with Minor Environmental Footprint;Oct-49;www.chemistryteam.com;2019;86.8;18.8;22.6;5.5;10.1;29.7;1.0
0013b00001p2gZqAAI;LAS;09/04/21;09/04/21;certified;Research & Design;Business Products & Services;United Kingdom;Warwickshire;Leamington Spa;Service with Minor Environmental Footprint;01-Sep;www.las-hq.com;2020;92.1;15.6;24.6;10.9;15.3;25.5;1.0
001C000000rp2mlIAA;Mightybytes, Inc.;28/07/11;01/03/22;certified;IT Software & Services/Web Design;Business Products & Services;United States;Illinois;Chicago;Service with Minor Environmental Footprint;01-Sep;mightybytes.com;2021;168.6;47.4;30.4;32.7;22.3;35.6;1.0
001C000000rp2mlIAA;Mightybytes, Inc.;28/07/11;31/10/17;certified;IT Software & Services/Web Design;Business Products & Services;United States;Illinois;Chicago;Service with Minor Environmental Footprint;01-Sep;mightybytes.com;2017;101.7;28.4;15.8;12.1;22.2;23.2;2.0
001C000000rp2mlIAA;Mightybytes, Inc.;28/07/11;22/09/15;certified;IT Software & Services/Web Design;Business Products & Services;United States;Illinois;Chicago;Service with Minor Environmental Footprint;Oct-49;mightybytes.com;2015;83.6;19.8;6.3;12.5;19.0;26.0;3.0
001C000000rp2mlIAA;Mightybytes, Inc.;28/07/11;18/01/13;certified;IT Software & Services/Web Design;Business Products & Services;United States;Illinois;Chicago;Service with Minor Environmental Footprint;01-Sep;mightybytes.com;2012;98.1;27.7;10.2;13.9;18.4;27.7;4.0
0013b00001rGgJtAAK;JUST GOLD DIGITAL AGENCY PTY LTD;17/11/21;17/11/21;certified;Nonprofit Consulting & Fundraising;Business Products & Services;Australia;Victoria;Melbourne;Service with Minor Environmental Footprint;01-Sep;www.justgold.net;2021;100.1;26.0;21.4;9.1;17.8;25.7;1.0
0013b00001uOBQtAAO;African Impact Limited;14/01/22;14/01/22;certified;;;United Kingdom;South West;Brighton;Service with Minor Environmental Footprint;01-Sep;www.africanimpact.co.uk;2021;98.3;18.8;29.6;9.1;16.8;23.8;1.0
001C000001SzUNVIA3;And Rising;01/11/16;25/09/20;certified;Marketing & Communications Services;Business Products & Services;United Kingdom;London;London;Service with Minor Environmental Footprint;Oct-49;www.andrising.com;2019;84.5;22.5;5.5;4.7;15.0;36.5;1.0
001C000001SzUNVIA3;And Rising;01/11/16;01/11/16;certified;Marketing & Communications Services;Business Products & Services;United Kingdom;London;London;Service with Minor Environmental Footprint;Oct-49;www.andrising.com;2016;82.6;28.8;0.0;8.4;11.5;33.9;2.0
0013b00001qECc6AAG;Treatment;18/03/21;18/03/21;certified;Marketing & Communications Services;Business Products & Services;United States;Washington;Spokane;Service with Minor Environmental Footprint;01-Sep;wearetreatment.com;2019;92.7;39.4;3.6;5.8;17.8;26.0;1.0
0013b00001tBW6yAAG;Danone Specialised Nutrition UK & Ireland;14/01/22;14/01/22;certified;Food & Beverage;Consumer Products & Services;United Kingdom;London Borough of Hounslow;London;Manufacturing;1000;www.danone.co.uk;2021;90.2;17.0;9.5;16.4;16.8;30.2;1.0
0013b00001rFgE5AAK;Uncommon Good Inc.;23/11/21;23/11/21;certified;IT Software & Services/Web Design;Business Products & Services;United States;Connecticut;Greenwich;Service with Minor Environmental Footprint;01-Sep;uncommongood.io;2020;103.5;28.4;28.9;7.5;16.5;22.0;1.0
0013b00001p4JG9AAM;Bluedog Design;02/10/20;02/10/20;certified;Research & Design;Business Products & Services;United States;Illinois;Chicago;Service with Minor Environmental Footprint;Oct-49;www.bluedogdesign.com;2020;84.0;18.7;4.3;4.6;15.0;41.2;1.0
0013b00001s7bglAAA;Beeye;09/04/21;09/04/21;certified;IT Software & Services/Web Design;Business Products & Services;Canada;Quebec;Montréal;Service with Minor Environmental Footprint;01-Sep;www.mybeeye.com;2020;88.5;20.1;6.0;10.3;19.6;32.3;1.0
001C0000016bksXIAQ;Blue Dot Advocates, PBC;08/10/13;04/06/21;certified;Legal;Legal Services;United States;Colorado;Denver;Service with Minor Environmental Footprint;01-Sep;bluedotlaw.com;2021;100.8;21.2;22.1;7.4;20.4;29.5;1.0
001C0000016bksXIAQ;Blue Dot Advocates, PBC;08/10/13;22/01/18;certified;Legal;Legal Services;United States;Colorado;Denver;Service with Minor Environmental Footprint;01-Sep;bluedotlaw.com;2017;100.9;25.9;21.2;7.9;20.8;25.1;2.0
001C0000016bksXIAQ;Blue Dot Advocates, PBC;08/10/13;02/12/15;certified;Legal;Legal Services;United States;Colorado;Denver;Service with Minor Environmental Footprint;01-Sep;bluedotlaw.com;2015;86.7;18.4;18.8;8.2;12.6;28.7;3.0
001C0000016bksXIAQ;Blue Dot Advocates, PBC;08/10/13;08/10/13;certified;Legal;Legal Services;United States;Colorado;Denver;Service with Minor Environmental Footprint;01-Sep;bluedotlaw.com;2013;80.5;17.4;17.2;5.7;15.9;24.0;4.0
0018000000OO2lFAAT;Energage;26/09/07;25/03/22;certified;IT Software & Services/Web Design;Business Products & Services;United States;Pennsylvania;Exton;Service with Minor Environmental Footprint;50-249;www.energage.com;2019;95.2;16.5;23.6;6.5;16.4;31.9;1.0
0018000000OO2lFAAT;Energage;26/09/07;16/10/17;certified;IT Software & Services/Web Design;Business Products & Services;United States;Pennsylvania;Exton;Service with Minor Environmental Footprint;50-249;www.energage.com;2017;94.5;18.1;26.7;8.9;15.1;25.7;2.0
0018000000OO2lFAAT;Energage;26/09/07;15/06/15;certified;IT Software & Services/Web Design;Business Products & Services;United States;Pennsylvania;Exton;Service with Minor Environmental Footprint;Oct-49;www.energage.com;2015;85.0;17.2;15.6;6.7;15.3;30.3;3.0
0018000000OO2lFAAT;Energage;26/09/07;06/05/13;certified;IT Software & Services/Web Design;Business Products & Services;United States;Pennsylvania;Exton;Service with Minor Environmental Footprint;Oct-49;www.energage.com;2012;90.4;19.4;19.7;4.1;14.7;32.3;4.0
001C000001BX71lIAD;LimeRed;10/12/14;29/07/21;certified;Research & Design;Business Products & Services;United States;Illinois;Chicago;Service;01-Sep;limered.io;2020;94.4;26.4;18.9;7.5;16.3;25.1;1.0
001C000001BX71lIAD;LimeRed;10/12/14;25/04/17;certified;Research & Design;Business Products & Services;United States;Illinois;Chicago;Service;01-Sep;limered.io;2016;97.1;33.7;15.4;5.6;17.6;24.8;2.0
001C000001BX71lIAD;LimeRed;10/12/14;10/12/14;certified;Research & Design;Business Products & Services;United States;Illinois;Chicago;Service;01-Sep;limered.io;2014;95.6;35.8;17.4;8.3;9.2;25.6;3.0
0013b00001vNvKTAA0;Banish;17/01/22;17/01/22;certified;Online Marketplace;Retail;Australia;New South Wales;WATERLOO;Wholesale/Retail;01-Sep;banish.com.au;2021;84.6;24.1;3.4;36.4;4.8;15.8;1.0
001C000001bW7OtIAK;SinnovaTek;25/10/17;06/04/21;certified;Agricultural Services;Agriculture;United States;North Carolina;Raleigh;Manufacturing;01-Sep;www.sinnovatek.com;2019;84.9;14.4;14.3;15.8;14.6;25.6;1.0
001C000001bW7OtIAK;SinnovaTek;25/10/17;25/10/17;certified;Agricultural Services;Agriculture;United States;North Carolina;Raleigh;Manufacturing;01-Sep;www.sinnovatek.com;2017;90.9;16.8;18.7;19.7;15.1;20.6;2.0
001C000000v7s73IAA;IKE Enterprises Inc, dba: Left Coast Naturals, Hippie Snacks, Left Coast Organics, et al.;09/01/12;11/09/18;certified;Food & Beverage;Consumer Products & Services;Canada;British Columbia;Burnaby;Manufacturing;Oct-49;hippiesnacks.com;2017;96.5;21.3;0.0;34.8;15.3;24.9;1.0
001C000000v7s73IAA;IKE Enterprises Inc, dba: Left Coast Naturals, Hippie Snacks, Left Coast Organics, et al.;09/01/12;25/04/16;certified;Food & Beverage;Consumer Products & Services;Canada;British Columbia;Burnaby;Manufacturing;Oct-49;hippiesnacks.com;2015;88.1;15.4;0.0;33.0;14.3;25.3;2.0
001C000000v7s73IAA;IKE Enterprises Inc, dba: Left Coast Naturals, Hippie Snacks, Left Coast Organics, et al.;09/01/12;06/12/13;certified;Food & Beverage;Consumer Products & Services;Canada;British Columbia;Burnaby;Manufacturing;Oct-49;hippiesnacks.com;2013;85.7;15.6;0.0;31.2;11.6;27.1;3.0
001C000000v7s73IAA;IKE Enterprises Inc, dba: Left Coast Naturals, Hippie Snacks, Left Coast Organics, et al.;09/01/12;12/11/13;certified;Food & Beverage;Consumer Products & Services;Canada;British Columbia;Burnaby;Manufacturing;Oct-49;hippiesnacks.com;2012;82.5;15.8;0.0;29.6;11.7;25.5;4.0
001C000001gZ4MRIA0;Limpiolux;17/12/21;17/12/21;certified;Home & Personal Care;Consumer Products & Services;Argentina;Buenos Aires Province;Buenos Aires;Service with Significant Environmental Footprint;1000;limpiolux.com.ar;2019;92.0;19.9;2.9;16.5;14.5;38.0;1.0
001C000001SJ5aFIAT;Space Doctors Ltd;20/04/21;20/04/21;certified;Management and Financial Consulting;Business Products & Services;United Kingdom;East Sussex;Brighton;Service with Minor Environmental Footprint;Oct-49;www.space-doctors.com;2020;88.5;26.4;1.6;10.8;10.4;39.1;1.0
001C000001iwlUVIAY;dmarcian;24/05/19;24/05/19;certified;IT Software & Services/Web Design;Business Products & Services;United States;North Carolina;Brevard;Service with Minor Environmental Footprint;Oct-49;dmarcian.com;2018;80.2;24.5;;15.2;13.4;26.9;1.0
001C000001af1LrIAI;Amazonas Explorer;03/05/17;04/05/17;certified;Travel & Leisure;Restaurant, Hospitality & Travel;Peru;Cusco;Cusco;Service with Minor Environmental Footprint;Oct-49;www.amazonas-explorer.com;2017;86.4;26.7;0.0;13.3;14.5;31.9;1.0
001C000001LkCjfIAF;Crave Fishbar;17/12/15;21/02/19;certified;Restaurant;Restaurant, Hospitality & Travel;United States;New York;New York;Service with Significant Environmental Footprint;50-249;www.cravefishbar.com;2017;82.4;27.4;;24.3;14.2;16.3;1.0
001C000001LkCjfIAF;Crave Fishbar;17/12/15;17/12/15;certified;Restaurant;Restaurant, Hospitality & Travel;United States;New York;New York;Service with Significant Environmental Footprint;Oct-49;www.cravefishbar.com;2015;83.5;30.3;0.0;18.7;15.5;19.0;2.0
001C000001Jcj7RIAR;Bohlsen Group;21/04/15;11/03/21;certified;Marketing & Communications Services;Business Products & Services;United States;Indiana;Indianapolis;Service with Minor Environmental Footprint;Oct-49;www.bohlsengroup.com;2019;80.7;19.6;7.9;7.2;19.4;26.4;1.0
001C000001Jcj7RIAR;Bohlsen Group;21/04/15;17/03/17;certified;Marketing & Communications Services;Business Products & Services;United States;Indiana;Indianapolis;Service with Minor Environmental Footprint;Oct-49;www.bohlsengroup.com;2017;87.4;25.3;14.6;7.7;14.9;24.9;2.0
001C000001Jcj7RIAR;Bohlsen Group;21/04/15;21/04/15;certified;Marketing & Communications Services;Business Products & Services;United States;Indiana;Indianapolis;Service with Minor Environmental Footprint;Oct-49;www.bohlsengroup.com;2015;99.9;30.7;21.0;7.3;10.1;30.9;3.0
001C000001giMn6IAE;Wasafiri Consulting Limited;26/07/18;26/07/18;certified;Nonprofit Consulting & Fundraising;Business Products & Services;United Kingdom;Brighton and Hove;Brighton;Service with Minor Environmental Footprint;Oct-49;www.wasafiriconsulting.com;2018;89.0;11.0;34.9;1.8;14.6;26.5;1.0
001C000001P7MLyIAN;Innpact;12/11/15;12/02/18;certified;Management and Financial Consulting;Business Products & Services;Luxembourg;Luxembourg;Luxembourg;Service with Minor Environmental Footprint;Oct-49;www.innpact.com;2017;121.8;23.8;46.9;11.7;8.4;31.0;1.0
001C000001P7MLyIAN;Innpact;12/11/15;12/11/15;certified;Management and Financial Consulting;Business Products & Services;Luxembourg;Luxembourg;Luxembourg;Service with Minor Environmental Footprint;Oct-49;www.innpact.com;2015;119.7;22.4;42.0;12.4;8.5;34.5;2.0
001C000001a2ly6IAA;LETZ SUSHI;19/12/18;19/12/18;certified;Restaurant;Restaurant, Hospitality & Travel;Denmark;Capital Region of Denmark;Copenhagen V;Service with Significant Environmental Footprint;50-249;letzsushi.dk;2017;82.0;17.4;;26.9;13.3;24.2;1.0
0013b00001p1TKDAA2;Powder Bowl Trading Ltd;11/03/21;11/03/21;certified;Food & Beverage;Consumer Products & Services;United Kingdom;London;London;Wholesale/Retail;Oct-49;www.bolfoods.com;2019;83.2;17.1;3.4;18.6;15.0;28.9;1.0
001C000001CH8JLIA1;D-Orbit spa;25/08/14;25/11/19;certified;Machinery & Equipment;Business Products & Services;Italy;Lombardy;Fino Mornasco (CO);Manufacturing;Oct-49;www.dorbit.space;2019;82.2;13.1;4.6;23.1;16.5;24.8;1.0
001C000001CH8JLIA1;D-Orbit spa;25/08/14;29/08/16;certified;Machinery & Equipment;Business Products & Services;Italy;Lombardy;Fino Mornasco (CO);Manufacturing;Oct-49;www.dorbit.space;2016;96.0;15.4;0.0;41.5;14.6;24.5;2.0
001C000001CH8JLIA1;D-Orbit spa;25/08/14;25/08/14;certified;Machinery & Equipment;Business Products & Services;Italy;Lombardy;Fino Mornasco (CO);Manufacturing;Oct-49;www.dorbit.space;2014;84.2;13.5;0.0;44.8;7.6;18.3;3.0
001C000001gjGYFIA2;Fixit;28/02/19;28/02/19;certified;Management and Financial Consulting;Business Products & Services;Argentina;Santa Fe Province;Rosario;Service with Minor Environmental Footprint;0;www.somosfixit.com;2018;81.9;27.3;33.2;10.6;10.7;;1.0
001C000001Xw3ktIAB;Davis Benefits & Pensions Ltd.;16/11/17;30/06/21;certified;Health Insurance;Health & Human Services;Canada;British Columbia;Surrey;Service with Minor Environmental Footprint;Oct-49;www.davisbenefits.ca;2021;87.7;32.6;3.3;6.9;13.2;31.5;1.0
001C000001Xw3ktIAB;Davis Benefits & Pensions Ltd.;16/11/17;16/11/17;certified;Health Insurance;Health & Human Services;Canada;British Columbia;Surrey;Service with Minor Environmental Footprint;01-Sep;www.davisbenefits.ca;2017;87.5;30.6;3.0;7.2;12.4;34.3;2.0
0013b00001qoGc6AAE;Green Salon Collective;10/01/22;10/01/22;certified;Home & Personal Care;Consumer Products & Services;United Kingdom;London Borough of Brent;London;Service with Minor Environmental Footprint;01-Sep;www.greensaloncollective.com;2020;113.7;23.4;5.0;33.9;20.8;30.5;1.0
001C000001WFNPhIAP;JB Media Group, LLC;16/03/18;03/11/21;certified;Marketing & Communications Services;Business Products & Services;United States;North Carolina;Asheville;Service with Minor Environmental Footprint;Oct-49;www.jbmediagroupllc.com;2020;89.4;24.6;10.8;12.6;15.1;26.1;1.0
001C000001WFNPhIAP;JB Media Group, LLC;16/03/18;16/03/18;certified;Marketing & Communications Services;Business Products & Services;United States;North Carolina;Asheville;Service with Minor Environmental Footprint;Oct-49;www.jbmediagroupllc.com;2017;82.3;28.3;13.3;7.4;12.8;20.5;2.0
0013b00001uLq8PAAS;New Reach Community Consulting;24/02/22;24/02/22;certified;Research & Design;Business Products & Services;United States;Ohio;Columbus;Service with Minor Environmental Footprint;0;www.newreachcommunity.com;2020;80.1;32.6;34.0;6.0;7.3;;1.0
0013b00001vMlvUAAS;Renovit S.p.A.;21/02/22;21/02/22;certified;Sustainability Consulting;Business Products & Services;Italy;Metropolitan City of Milan;San Donato Milanese;Service with Minor Environmental Footprint;50-249;www.renovit.it;2021;82.9;12.2;3.6;20.1;14.5;32.3;1.0
0013b00001twU7xAAE;The Wellbeing Farm Ltd;22/03/22;22/03/22;certified;Catering & Meeting/Event Management;Business Products & Services;United Kingdom;Lancashire;Bolton;Service with Significant Environmental Footprint;Oct-49;www.thewellbeingfarm.co.uk;2021;97.6;30.9;3.6;19.9;17.4;25.7;1.0
